ATDNNR,Country,Subdivision,Site,PlotCode,Forest_old,Forest,NewForest,Altitude,Latitude,Longitude,PlotSize,PlotType,DBHmin,N,co-author,Owner/contact
29,Suriname,Sipaliwini,Nassau Mts 1,NM_01P,"mixed forest, laterite",TF,TFGS,,4.78,-54.62,1,single,10,477,y,"Hans ter Steege, Olaf Bánki"
30,Suriname,Sipaliwini,Nassau Mts 2,NM_02P,"mixed forest, laterite",TF,TFGS,,4.82,-54.61,0.55,single,10,257,y,"Hans ter Steege, Olaf Bánki"
31,Suriname,Sipaliwini,Nassau Mts 3,NM_03P,"mixed forest, laterite",TF,TFGS,,4.82,-54.6,1,single,10,500,y,"Hans ter Steege, Olaf Bánki"
32,Suriname,Sipaliwini,Nassau Mts 4,NM_04L,"mixed forest, laterite slope",TF,TFGS,,4.93,-54.52,1,single,10,775,y,"Hans ter Steege, Olaf Bánki"
33,Suriname,Sipaliwini,Nassau Mts 5,NM_05L,"mixed forest, laterite slope",TF,TFGS,,4.93,-54.52,1,single,10,828,y,"Hans ter Steege, Olaf Bánki"
34,Suriname,Sipaliwini,Nassau Mts 6,NM_06P,"mixed forest, laterite",TF,TFGS,,4.83,-54.61,1,single,10,608,y,"Hans ter Steege, Olaf Bánki"
38,Bolivia,Santa Cruz,Acuario AC1,ACU_01,"terra firme, Mixed forest, Semideciduous Granitic",TF,TFBS,247,-15.25,-61.24,1,single,10,545,y,Tim Killeen
39,Bolivia,Santa Cruz,Acuario AC2,ACU_02,"terra firme, Mixed forest, Pre-Quaternary, Semideciduous Granitic",TF,TFBS,300,-15.25,-61.24,1,single,10,518,y,Tim Killeen
40,Bolivia,Santa Cruz,Bosque Continuo BC1,NKC_01,"terra firme, Mixed forest, Pre-Quaternary",TF,TFBS,,-14.31,-60.54,1,single,10,532,y,Tim Killeen
41,Bolivia,Santa Cruz,Bosque Continuo BC2,NKC_02,"terra firme, Mixed forest, Pre-Quaternary",TF,TFBS,,-14.29,-60.53,1,single,10,543,y,Tim Killeen
42,Bolivia,Santa Cruz,Cerro Pelao 1,CRP_01,"terra firme, Mixed forest, Pre-Quaternary, Semideciduous Granitic",TF,TFBS,350,-14.54,-61.5,1,single,10,607,y,Tim Killeen
43,Bolivia,Santa Cruz,Cerro Pelao 2,CRP_02,"terra firme, Mixed forest, Pre-Holocene, Semideciduous Granitic",TF,TFBS,350,-14.54,-61.5,1,single,10,568,y,Tim Killeen
44,Bolivia,Santa Cruz,Chore CH1,CHO_01,"terra firme, Liana-dominated",TF,TFBS,170,-14.39,-61.15,1,single,10,1107,y,Tim Killeen
45,Bolivia,Santa Cruz,Chore CH2,CHO_02,"terra firme, Liana-dominated",TF,TFBS,170,-14.35,-61.16,1,single,10,962,y,Tim Killeen
46,Bolivia,Santa Cruz,Enano EN1,NKE_01,Dwarf Evergreen / Cerradão Tertiary Laterite,TF,TFBS,550,-13.64,-60.89,1,single,10,1056,y,Tim Killeen
47,Bolivia,Santa Cruz,Enano EN2,NKE_02,Dwarf Evergreen / Cerradão Tertiary Laterite,TF,TFBS,550,-13.64,-60.89,1,single,10,674,y,Tim Killeen
48,Bolivia,Santa Cruz,Flor de Oro FOb,FOb,"Seasonally Inundated, Quaternary",VA,IG,,-13.57,-61.02,1,single,10,387,y,Tim Killeen
49,Bolivia,Santa Cruz,Huanchaca I H1-1,HCC_11,"terra firme, Mixed forest, Pre-Quaternary",TF,TFBS,550,-13.91,-60.82,1,single,10,582,y,Tim Killeen
50,Bolivia,Santa Cruz,Huanchaca I H1-2,HCC_12,"terra firme, Mixed forest, Pre-Quaternary",TF,TFBS,550,-13.91,-60.82,1,single,10,725,y,Tim Killeen
51,Bolivia,Santa Cruz,"Huanchaca Dos, plot1",HCC_21,"terra firme, Mixed forest",TF,TFBS,729,-13.89,-60.73,1,single,10,750,y,"Luzmila Arroyo, Oliver Phillips"
52,Bolivia,Santa Cruz,"Huanchaca Dos, plot2",HCC_22,"terra firme, Mixed forest",TF,TFBS,747,-13.88,-60.73,1,single,10,903,y,"Luzmila Arroyo, Oliver Phillips"
53,Bolivia,Santa Cruz,Isla IH2-3,HCC_23,"terra firme, Mixed forest",TF,TFBS,809,-14.56,-60.75,1,single,10,718,y,Tim Killeen
54,Bolivia,Santa Cruz,Isla IH2-4,HCC_24,"terra firme, Mixed forest",TF,TFBS,735,-14.57,-60.75,1,single,10,599,y,Tim Killeen
55,Bolivia,Santa Cruz,Las Gamas LG-b,NKG_01,"terra firme, Mixed forest, Pre-Quaternary",TF,TFBS,,-14.8,-60.39,1,single,10,665,y,Tim Killeen
56,Bolivia,Santa Cruz,Las Torres LT-1,NKT_01,Deciduous / Cerradão Sandstone,TF,TFBS,300,-13.65,-60.83,1,single,10,456,y,Tim Killeen
57,Bolivia,Santa Cruz,Las Torres LT-2,NKT_02,Deciduous / Cerradão Sandstone,TF,TFBS,300,-13.65,-60.83,1,single,10,467,y,Tim Killeen
58,Bolivia,Santa Cruz,Las Torres LT3,NKT_03,"Swamp Forest, Quaternary",SW,SW,,-13.66,-60.82,1,single,10,923,y,Tim Killeen
59,Bolivia,Santa Cruz,"Las Londras, plot 1",LSL_01,"Seasonal floodplain, Mixed forest, Holocene",VA,IG,189,-14.4,-61.14,1,single,10,960,y,Tim Killeen
60,Bolivia,Santa Cruz,"Las Londras, plot 2",LSL_02,"Seasonal floodplain, Mixed forest, Holocene",VA,IG,190,-14.4,-61.14,1,single,10,988,y,Tim Killeen
61,Bolivia,Santa Cruz,Los Fierros Bosque I,LFB_01,"terra firme, Mixed forest, Pre-Holocene",TF,TFBS,245,-14.62,-60.87,1,single,10,780,y,Tim Killeen
62,Bolivia,Santa Cruz,Los Fierros Bosque II,LFB_02,"terra firme, Mixed forest, Pre-Holocene",TF,TFBS,227,-14.61,-60.87,1,single,10,752,y,Tim Killeen
63,Bolivia,Santa Cruz,Monte Cristo CR1,NKM_01,"Seasonal floodplain, Mixed forest, 	Holocene",VA,IG,200,-14.64,-61.16,1,single,10,834,y,Tim Killeen
64,Bolivia,Santa Cruz,Monte Cristo CR2,NKM_02,"Seasonal floodplain, Mixed forest, 	Holocene",VA,IG,200,-14.71,-61.15,1,single,10,909,y,Tim Killeen
65,Bolivia,Santa Cruz,Monte Verde MV1,NKV_01,"Seasonally Inundated, Quaternary",VA,IG,,-14.94,-61.13,1,single,10,870,y,Tim Killeen
66,Bolivia,Santa Cruz,San Roque SR1,SRq_01,TF,TF,TFBS,,-15,-61.22,1,single,10,563,y,Tim Killeen
68,Brazil,Pará,Porto Trombetas,TROM_01,TF,TF,TFGS,,-1.47,-56.38,1,single,10,474,y,Rafael Salomão
70,Brazil,Pará,Porto Trombetas,TROM_02,TF,TF,TFGS,,-1.47,-56.38,1,single,10,488,y,Rafael Salomão
74,Colombia,Amazonas,PNN Chiribiquete 1,CHIRB_01,Igapo,IG,IG,,0.07,-72.45,1,single,10,799,y,"Patricio von Hildebrand, Juan Fernando Phillips"
75,Colombia,Amazonas,PNN Chiribiquete 2,CHIRB_02,TF,TF,TFGS,,0.07,-72.45,1,single,10,808,y,"Patricio von Hildebrand, Juan Fernando Phillips"
76,Colombia,Amazonas,PNN Chiribiquete 3,CHIRB_03,TF,TF,TFGS,,0.07,-72.45,1,single,10,801,y,"Patricio von Hildebrand, Juan Fernando Phillips"
77,Colombia,Amazonas,PNN Chiribiquete 4,CHIRB_04,TF,TF,TFGS,,0.07,-72.45,1,single,10,864,y,"Patricio von Hildebrand, Juan Fernando Phillips"
78,Colombia,Amazonas,PNN Chiribiquete 5,CHIRB_05,TF,TF,TFGS,,0.07,-72.45,1,single,10,707,y,"Patricio von Hildebrand, Juan Fernando Phillips"
82,Ecuador,Sucumbios,Yuturi,YUTURI,TF,TF,TFPB,,-0.53,-76.05,1,single,10,549,y,"Juan Ernesto Guevara, Hugo Mogollón, Roosevelt García, Nigel Pitman"
83,Ecuador,Sucumbios,Zancudo,ZANCUDO,TF,TF,TFPB,,-0.63,-75.38,1,single,10,587,y,"Juan Ernesto Guevara, Hugo Mogollón, Roosevelt García, Nigel Pitman"
84,French Guiana,Saint Elie,"Montagne Plomb, plot 1",MPB1,terra firme,TF,TFGS,,5,-52.93,1,single,10,479,y,"Daniel Sabatier, Jean-François Molino"
85,French Guiana,Saint Elie,"Montagne Plomb, plot 2",MPB2,terra firme,TF,TFGS,,5.01,-52.93,1,single,10,866,y,"Daniel Sabatier, Jean-François Molino"
86,French Guiana,Sinnamary,"Paracou, dispositif expérimental, 1",PAR1,terra firme,TF,TFGS,,5.27,-52.94,0.5,single,10,334,y,"Daniel Sabatier, Jean-François Molino"
87,French Guiana,Sinnamary,"Paracou, dispositif expérimental, 11",PAR11,terra firme,TF,TFGS,,5.26,-52.93,0.5,single,10,338,y,"Daniel Sabatier, Jean-François Molino"
88,French Guiana,Sinnamary,"Paracou, dispositif expérimental, 6",PAR6,terra firme,TF,TFGS,,5.27,-52.93,0.5,single,10,282,y,"Daniel Sabatier, Jean-François Molino"
89,Guyana,Upper Demerara-Berbice,Mapenna savanna LB Corantyne,MAPSAV,TF,TF,TFGS,,5.35,-57.32,0.74,single,10,255,n,D.B. Fanshawe
90,Guyana,Upper Demerara-Berbice,Charabaru 1,CHBR_01,"mixed forest, brown sand",TF,TFGS,,4.95,-58.36,1,single,10,452,y,"Hans ter Steege, Olaf Bánki"
91,Guyana,Upper Demerara-Berbice,Charabaru 2,CHBR_02,"DEF, white sand",PZ,PZ,,4.95,-58.35,1,single,10,655,y,"Hans ter Steege, Olaf Bánki"
92,Guyana,Upper Demerara-Berbice,Charabaru 3,CHBR_03,"DEF, white sand",PZ,PZ,,4.95,-58.37,1,single,10,547,y,"Hans ter Steege, Olaf Bánki"
93,Guyana,Upper Demerara-Berbice,Charabaru 4,CHBR_04,"mixed forest, brown sand",TF,TFGS,,4.92,-58.35,1,single,10,484,y,"Hans ter Steege, Olaf Bánki"
94,Guyana,Cuyuni-Mazaruni,"107 M BP road, Esch-Lic Ass. Dycimbe Fac.",BP107M,TF,TF,TFGS,,5.49,-58.76,1.486,single,10,655,n,D.B. Fanshawe
95,Guyana,Cuyuni-Mazaruni,90 M BP road,BP90M,PZ,PZ,PZ,,5.55,-58.74,1.486,single,10,712,n,D.B. Fanshawe
96,Guyana,Upper Takutu-Upper Essequibo,Simuni Ck. RB Rupununi,SIM_CK,TF,TF,TFGS,,3.77,-59.28,1.08,single,10,741,n,D.B. Fanshawe
98,Peru,Loreto,Apayacu,APAYACU,TF,TF,TFPB,,-3.12,-72.71,1,single,10,645,y,Nigel Pitman
99,Peru,Loreto,Boca Curaray,BOCA_CUR,TF,TF,TFPB,,-2.38,-74.09,1,single,10,654,y,"Nigel Pitman, Hugo Mogollón, Percy Núñez Vargas, Roosevelt García, Juan Ernesto Guevara"
100,Peru,Loreto,Buenavista terra firme,BVI_TF,TF,TF,TFPB,,-4.83,-72.39,1,single,10,542,y,"Nigel Pitman, Roosevelt García, Corine Vriesendorp, Hamilton Beltrán"
101,Peru,Loreto,Curacinha,CURAC,TF,TF,TFPB,,-5.05,-72.73,1,single,10,666,y,"Nigel Pitman, Roosevelt García, Corine Vriesendorp, Hamilton Beltrán"
102,Peru,Loreto,Ingano Llacta,ING_LL,TF,TF,TFPB,,-1.87,-74.67,1,single,10,603,y,"Nigel Pitman, Hugo Mogollón, Percy Núñez Vargas, Roosevelt García, Juan Ernesto Guevara"
103,Peru,Loreto,Maronal,MARONAL,TF,TF,TFPB,,-2.97,-72.13,1,single,10,697,y,"Nigel Pitman,  Italo Mesones, Marcos Ríos Paredes"
104,Peru,Loreto,PV7 polvorín,PV7_P,TF,TF,TFPB,,-0.88,-75.21,1,single,10,560,y,"Nigel Pitman, Hugo Mogollón, Percy Núñez Vargas, Roosevelt García, Juan Ernesto Guevara"
105,Peru,Loreto,PV7 terrace,PV7_T,TF,TF,TFPB,,-0.88,-75.21,1,single,10,641,y,"Nigel Pitman, Hugo Mogollón, Percy Núñez Vargas, Roosevelt García, Juan Ernesto Guevara"
106,Peru,Loreto,Quebrada Blanco 1,QBL_01,TF,TF,TFPB,,-4.36,-73.16,1,single,10,548,y,"Nigel Pitman, Marcos Ríos Paredes, Nállarett Dávila"
107,Peru,Loreto,Quebrada Blanco 2,QBL_02,TF,TF,TFPB,,-4.36,-73.16,1,single,10,536,y,"Nigel Pitman, Marcos Ríos Paredes, Nállarett Dávila"
108,Peru,Loreto,Santa María,S_MARIA,TF,TF,TFPB,,-1.42,-74.62,1,single,10,619,y,"Nigel Pitman, Hugo Mogollón, Percy Núñez Vargas, Roosevelt García, Juan Ernesto Guevara"
109,Peru,Loreto,Vencedores,VENCED,TF,TF,TFPB,,-1.14,-75.02,1,single,10,626,y,"Nigel Pitman, Hugo Mogollón, Percy Núñez Vargas, Roosevelt García, Juan Ernesto Guevara"
110,Peru,Loreto,Yaguas,YAGUAS,TF,TF,TFPB,,-2.86,-71.42,1,single,10,583,y,"Nigel Pitman, Italo Mesones, Marcos Ríos Paredes"
111,Peru,Ucayali,Caobal floodplain,CAO_FL,FL,VA,VA,,-10.42,-71.22,1,single,10,614,y,"John Terborgh, Percy Núñez Vargas"
112,Peru,Ucayali,Caobal terra firme,CAO_TF,TF,TF,TFPB,,-10.39,-71.22,1,single,10,609,y,"Nigel Pitman, Percy Núñez Vargas"
113,Peru,Ucayali,Colombiana,COL_TF,TF,TF,TFPB,,-10.07,-71.1,1,single,10,542,y,"Nigel Pitman, John Terborgh, Percy Núñez Vargas"
114,Peru,Ucayali,Puerto Esperanza,PRT_ESP,TF,TF,TFPB,,-9.78,-70.68,1,single,10,518,y,Nigel Pitman
115,Peru,Ucayali,Tres Bolas,TRBOLAS,TF,TF,TFPB,,-9.69,-70.65,1,single,10,532,y,"John Terborgh, Percy Núñez Vargas"
116,Suriname,Brokopondo,Brownsberg 1,BB_01P,"mixed forest, laterite, plateau",TF,TFGS,,4.93,-55.22,1,single,10,635,y,"Hans ter Steege, Olaf Bánki"
117,Suriname,Brokopondo,Brownsberg 2,BB_02P,"mixed forest, laterite, plateau",TF,TFGS,,4.93,-55.19,1,single,10,571,y,"Hans ter Steege, Olaf Bánki"
118,Suriname,Brokopondo,Brownsberg 3,BB_03P,"mixed forest, laterite, plateau",TF,TFGS,,4.95,-55.19,1,single,10,635,y,"Hans ter Steege, Olaf Bánki"
119,Suriname,Brokopondo,Brownsberg 4,BB_04M,"mixed forest, laterite, slope",TF,TFGS,,4.97,-55.18,1,single,10,466,y,"Hans ter Steege, Olaf Bánki"
120,Suriname,Brokopondo,Brownsberg 5,BB_05L,"mixed forest, base slopes",TF,TFGS,,4.99,-55.2,1,single,10,540,y,"Hans ter Steege, Olaf Bánki"
121,Suriname,Brokopondo,Brownsberg 6,BB_06M,"mixed forest, laterite, slope",TF,TFGS,,4.94,-55.18,1,single,10,548,y,"Hans ter Steege, Olaf Bánki"
122,Suriname,Brokopondo,Brownsberg 7,BB_07L,"mixed forest, base slopes",TF,TFGS,,4.92,-55.13,1,single,10,526,y,"Hans ter Steege, Olaf Bánki"
123,Suriname,Brokopondo,Brownsberg 8,BB_08L,"mixed forest, base slopes",TF,TFGS,,4.93,-55.14,1,single,10,562,y,"Hans ter Steege, Olaf Bánki"
124,Venezuela,Bolivar,Corozal,CORO_01,Terra firme,TF,TFGS,,6.92,-66.5,1,single,10,324,n,Brian Boom
126,Bolivia,La Paz,"Parque Nacional-ANMI Madidi. Arroyo Rudidi, sobre el río Tuichi.",PP_Tuichi_4,"Bosque amazónico preandino, Terraza",TF,TFPB,,-14.36,-67.96,1,single,10,589,y,"Sebastián Tello, Alfredo Fuentes, Alejandro Araujo-Murakami"
127,Brazil,Amazonas,Lago Janauari,LAGOJAN,Seasonally inundated white and black water,VA,VA,,-3.33,-60.28,0.5,single,10,198,y,Iêda Amaral
128,Colombia,Amazonas,Lorena E02,LOR_01,"terra firme, Mixed forest, Pre-Quaternary",TF,TFPB,94,-3.05,-69.98,1,single,10,624,y,"Agustín Rudas, Adriana Prieto"
129,Colombia,Amazonas,Lorena U02,LOR_02,"terra firme, Mixed forest, Pre-Quaternary",TF,TFPB,93,-3.05,-70,1,single,10,594,y,"Agustín Rudas, Adriana Prieto"
130,Colombia,Amazonas,Pudre E01,AGP_01,"terra firme, Mixed forest, Pre-Quaternary",TF,TFPB,120,-3.72,-70.3,1,single,10,631,y,"Agustín Rudas, Adriana Prieto"
131,Colombia,Amazonas,Pudre U01,AGP_02,"terra firme, Mixed forest, Pre-Quaternary",TF,TFPB,120,-3.72,-70.29,1,single,10,594,y,"Agustín Rudas, Adriana Prieto"
132,Ecuador,Orellana,Chucula,CHUCULA,FL,VA,VA,,-0.63,-75.24,1,single,10,593,y,"Hugo Mogollón, Juan Ernesto Guevara"
133,Ecuador,Orellana,ECY,ECY_01,TF,TF,TFPB,,-0.63,-76.5,1,single,10,643,n,Salgado Peñaherrera
134,Ecuador,Orellana,Km 21,KM21,TF,TF,TFPB,,-0.55,-76.52,1,single,10,786,y,"Hugo Mogollón, Juan Ernesto Guevara"
138,Ecuador,Orellana,Pilimosca,PILIMOSCA,FL,VA,VA,,-0.56,-75.24,1,single,10,468,y,"Hugo Mogollón, Juan Ernesto Guevara"
139,Ecuador,Orellana,Saladero,SALADERO,TF,TF,TFPB,,-0.81,-76.4,1,single,10,653,y,"Hugo Mogollón, Juan Ernesto Guevara"
140,Ecuador,Orellana,Tigrillo,TIGRILLO,TF,TF,TFPB,,-0.66,-76.36,1,single,10,556,y,"Hugo Mogollón, Juan Ernesto Guevara"
146,Ecuador,Sucumbíos,Yarina,YARINA,TF,TF,TFPB,,-0.56,-75.23,1,single,10,734,y,"Hugo Mogollón, Juan Ernesto Guevara"
147,French Guiana,Sinnamary,Piste de St Elie 2B,PSE2B,terra firme,TF,TFGS,,5.3,-53.06,1,single,10,594,y,"Daniel Sabatier, Jean-François Molino"
148,French Guiana,Sinnamary,Piste de St Elie 3B,PSE3B,terra firme,TF,TFGS,,5.3,-53.06,1,single,10,566,y,"Daniel Sabatier, Jean-François Molino"
149,French Guiana,Sinnamary,Piste de St Elie P,PSEP,terra firme,TF,TFGS,,5.29,-53.06,1,single,10,643,y,"Daniel Sabatier, Jean-François Molino"
150,French Guiana,Sinnamary,Piste de St Elie R,PSER,terra firme,TF,TFGS,,5.29,-53.05,1,single,10,591,y,"Daniel Sabatier, Jean-François Molino"
151,Peru,Loreto,Nauta,NAUTA,TF,TF,TFPB,,-4.45,-73.62,1,single,10,707,y,"Nigel Pitman, Elvis Valderrama, Manuel Ahuite, Juan Ernesto Guevara"
152,Peru,Loreto,Orosa,OROSA,TF,TF,TFPB,,-3.62,-72.24,1,single,10,631,y,"Nigel Pitman, Marcos Ríos Paredes, Nállarett Dávila, Juan Ernesto Guevara"
153,Peru,Loreto,San José,S_JOSE,TF,TF,TFPB,,-2.51,-73.66,1,single,10,574,y,"Nigel Pitman, Marcos Ríos Paredes, Nállarett Dávila, Juan Ernesto Guevara"
154,Peru,Loreto,Santa Teresa,S_TERESA,TF,TF,TFPB,,-2.83,-73.56,1,single,10,539,y,"Nigel Pitman, Marcos Ríos Paredes, Nállarett Dávila, Juan Ernesto Guevara"
155,Peru,Madre de Dios,Blanquillo Collpa,BL_COLL,FL,VA,VA,,-12.45,-70.7,2,single,10,1471,y,"John Terborgh, Percy Núñez Vargas"
156,Peru,Madre de Dios,Cocha Blanquillo,CO_BLANQ,FL,VA,VA,,-12.45,-70.7,2,single,10,1275,y,"John Terborgh, Percy Núñez Vargas"
157,Peru,Madre de Dios,Cocha Sandoval,CO_SAND,FL,VA,VA,,-12.61,-69.05,0.7,single,10,555,y,"John Terborgh, Percy Núñez Vargas"
158,Peru,Madre de Dios,Rio de las Piedras,RPI_01,"terra firme, Mixed forest, Pleistocene",TF,TFPB,260,-12.36,-69.23,1,single,10,550,y,"John Terborgh, Percy Núñez Vargas"
159,Peru,Madre de Dios,Rio Pariamanu,RIO_PARI,TF,TF,TFPB,,-12.39,-69.36,1.06,single,10,525,y,"John Terborgh, Percy Núñez Vargas"
160,Peru,Madre de Dios,Rio Tahuamanu,RIO_TAH_01,TF,TF,TFPB,,-11.38,-69.67,1,single,10,524,y,"John Terborgh, Percy Núñez Vargas"
161,Peru,Madre de Dios,Rio Tahuamanu,RIO_TAH_02,FL,VA,VA,,-11.38,-69.67,1.06,single,10,562,y,"John Terborgh, Percy Núñez Vargas"
168,Brazil,Mato Grosso,Upper Xingu 1,UPXIN_01,TF,TF,TFBS,,-13.2,-53.33,1,single,10,588,n,Natália Macedo Ivanauskas
169,Brazil,Mato Grosso,Upper Xingu 2,UPXIN_02,TF,TF,TFBS,,-13.17,-53.45,1,single,10,536,n,Natália Macedo Ivanauskas
170,Brazil,Mato Grosso,Upper Xingu 3,UPXIN_03,TF,TF,TFBS,,-13.1,-53.38,1,single,10,515,n,Natália Macedo Ivanauskas
171,Brazil,Amazonas,Anavilhanas archipelago ( SLM - Lago do Miuá),RN_AN4,FL,IG,IG,,-2.74,-60.76,0.27,single,10,365,y,Maite Piedade
172,Brazil,Amazonas,Anavilhanas archipelago ( SLP - Lago do Prato),RN_AN5,FL,IG,IG,,-2.72,-60.75,0.23,single,10,97,y,Maite Piedade
174,Brazil,Amazonas,Ducke Campinarana,DUCKE_WS,"Campinarana, white sand",PZ,PZ,,-2.94,-59.94,0.5,single,10,255,y,"Hans ter Steege, Carolina Castilho"
175,Brazil,Amazonas,Ducke LO1T0,LO1T0,terra firme,TF,TFGS,,-2.93,-59.97,0.5,single,10,409,y,"Bill Magnusson, Carolina Castilho"
176,Brazil,Amazonas,Ducke LO1T1000,LO1T1000,terra firme,TF,TFGS,,-2.93,-59.96,0.5,single,10,376,y,"Bill Magnusson, Carolina Castilho"
177,Brazil,Amazonas,Ducke LO1T2000,LO1T2000,terra firme,TF,TFGS,,-2.92,-59.95,0.5,single,10,351,y,"Bill Magnusson, Carolina Castilho"
178,Brazil,Amazonas,Ducke LO1T3000,LO1T3000,terra firme,TF,TFGS,,-2.92,-59.94,0.5,single,10,383,y,"Bill Magnusson, Carolina Castilho"
179,Brazil,Amazonas,Ducke LO1T4000,LO1T4000,terra firme,TF,TFGS,,-2.92,-59.93,0.5,single,10,361,y,"Bill Magnusson, Carolina Castilho"
180,Brazil,Amazonas,Ducke LO1T5500,LO1T5500,terra firme,TF,TFGS,,-2.92,-59.92,0.5,single,10,398,y,"Bill Magnusson, Carolina Castilho"
181,Brazil,Amazonas,Ducke LO1T6500,LO1T6500,terra firme,TF,TFGS,,-2.92,-59.91,0.5,single,10,376,y,"Bill Magnusson, Carolina Castilho"
182,Brazil,Amazonas,Ducke LO1T7500,LO1T7500,terra firme,TF,TFGS,,-2.92,-59.9,0.5,single,10,264,y,"Bill Magnusson, Carolina Castilho"
183,Brazil,Amazonas,Ducke LO2T0,LO2T0,floresta do Baixio,SW,SW,,-2.94,-59.97,0.5,single,10,385,y,"Bill Magnusson, Carolina Castilho"
184,Brazil,Amazonas,Ducke LO2T1000,LO2T1000,terra firme,TF,TFGS,,-2.94,-59.96,0.5,single,10,353,y,"Bill Magnusson, Carolina Castilho"
185,Brazil,Amazonas,Ducke LO2T2000,LO2T2000,terra firme,TF,TFGS,,-2.93,-59.95,0.5,single,10,402,y,"Bill Magnusson, Carolina Castilho"
186,Brazil,Amazonas,Ducke LO2T3000,LO2T3000,terra firme,TF,TFGS,,-2.93,-59.94,0.5,single,10,385,y,"Bill Magnusson, Carolina Castilho"
187,Brazil,Amazonas,Ducke LO2T4500,LO2T4500,terra firme,TF,TFGS,,-2.93,-59.93,0.5,single,10,343,y,"Bill Magnusson, Carolina Castilho"
188,Brazil,Amazonas,Ducke LO2T5500,LO2T5500,terra firme,TF,TFGS,,-2.93,-59.92,0.5,single,10,301,y,"Bill Magnusson, Carolina Castilho"
189,Brazil,Amazonas,Ducke LO2T6500,LO2T6500,terra firme,TF,TFGS,,-2.93,-59.91,0.5,single,10,299,y,"Bill Magnusson, Carolina Castilho"
190,Brazil,Amazonas,Ducke LO2T7500,LO2T7500,terra firme,TF,TFGS,,-2.93,-59.9,0.5,single,10,349,y,"Bill Magnusson, Carolina Castilho"
191,Brazil,Amazonas,Ducke LO3T1500,LO3T1500,terra firme,TF,TFGS,,-2.94,-59.96,0.5,single,10,331,y,"Bill Magnusson, Carolina Castilho"
192,Brazil,Amazonas,Ducke LO3T2500,LO3T2500,terra firme,TF,TFGS,,-2.94,-59.95,0.5,single,10,352,y,"Bill Magnusson, Carolina Castilho"
193,Brazil,Amazonas,Ducke LO3T3500,LO3T3500,floresta do Baixio,SW,SW,,-2.94,-59.94,0.5,single,10,322,y,"Bill Magnusson, Carolina Castilho"
194,Brazil,Amazonas,Ducke LO3T4500,LO3T4500,terra firme,TF,TFGS,,-2.94,-59.94,0.5,single,10,368,y,"Bill Magnusson, Carolina Castilho"
195,Brazil,Amazonas,Ducke LO3T500,LO3T500,terra firme,TF,TFGS,,-2.94,-59.93,0.5,single,10,381,y,"Bill Magnusson, Carolina Castilho"
